course_id,course_title,course_code,lab_theory,dept_id,semester,syllabus_intro_year,grad_level
433,Real Analysis I,5B06MAT,T,10,5,2019,UG
434,Abstract Algebra,5B07MAT,T,10,5,2019,UG
435,Differential Equations and Laplace Transforms,5B08MAT,T,10,5,2019,UG
436,Vector Calculus,5B09MAT,T,10,5,2019,UG
437,Statistical Inference - II,5B05STA,T,12,5,2019,UG
438,Mathematical Methods for Statistics - I,5B06STA,T,12,5,2019,UG
439,Regression Techniques and Time Series,5B07STA,T,12,5,2019,UG
440,Statistical Quality Control and Operations Research,5B08STA,T,12,5,2019,UG
441,Practical Using R - I,5B09STA,T,12,5,2019,UG
442,Quantum Mechanics,5B06PHY,T,11,5,2019,UG
443,Electrostatics and Magnetostatics,5B07PHY,T,11,5,2019,UG
444,Thermodynamics and Statistical Mechanics,5B08PHY,T,11,5,2019,UG
445,Electronics II,5B09PHY,T,11,5,2019,UG
446,General Physics Practical II,6B15PHY,L,11,5,2019,UG
447,Electronics Practical III,6B16PHY,L,11,5,2019,UG
448,History of India IV: Colonial Transformations (1757-1885),5B07HIS,T,4,5,2019,UG
449,History of India V: Making of the Nation (1885 -1947),5B08HIS,T,4,5,2019,UG
450,History of Kerala II: Making of Modern Kerala (1500-1970),5B09HIS,T,4,5,2019,UG
451,Method and Writing of History,5B10HIS,T,4,5,2019,UG
452,Historiography: Perspectives and Practices,5B11HIS,T,4,5,2019,UG
453,Readings on Democracy and Secularism,3A05ENG,T,2,3,2019,UG
454,Gadya Sahithyam,3A09MAL,T,5,3,2019,UG
455,Katha Sahithya,3A09HIN,T,3,3,2019,UG
456,Python for Machine Learning,3B04ICSC,T,9,3,2020,PG
457,Operating System,3B05ICSC,T,9,3,2020,PG
458,Data Structures,3B06ICSC,T,9,3,2020,PG
459,Lab-2 : Python for Machine Learning,3B07ICSC,L,9,3,2020,PG
460,Lab-3 : Data Structures using C,3B08ICSC,L,9,3,2020,PG
461,Computer Organization,4B09ICSC,T,9,4,2020,PG
462,Database Management System,4B10ICSC,T,9,4,2020,PG
463,Object Oriented Programming using Java,4B11ICSC,T,9,4,2020,PG
464,Lab-4 : Object Oriented Programming using Java,4B12ICSC,L,9,4,2020,PG
465,Lab-5: Database Management System,4B13ICSC,L,9,4,2020,PG
466,Web Technology with Database Management System,3C03CSC,T,9,3,2019,UG
467,"Lab 1: Programming In C, Web Programming and Python Programming",4C05CSC,L,9,3,2019,UG
468,Business Research Methodology,5B07COM,T,14,5,2019,UG
469,Income Tax Law and Practice,5B08COM,T,14,5,2019,UG
470,Cost Accounting,5B09COM,T,14,5,2019,UG
471,Banking Principles and Operations,5B10COM,T,14,5,2019,UG
